token,term_freq,doc_freq,category,canonical_form
옷장,1305,1177,OTHER,옷장
라벨,1303,957,OTHER,라벨
토피,1303,1198,BRAND,토피
제작,1302,926,OTHER,제작
아울렛,1302,1018,OTHER,아울렛
내일,1300,1233,OTHER,내일
stu,1298,996,BRAND,에스티유오피스
야드,1292,977,BRAND,브라운야드
에어,1289,1111,ITEM,에어
커스,1287,1078,OTHER,커스
언더,1282,1105,OTHER,언더
회사,1279,1090,OTHER,회사
웨스턴,1277,860,STYLE,웨스턴
고아캐,1275,1141,STYLE,고아캐
빅,1274,1097,OTHER,빅
오프라인,1272,1080,OTHER,오프라인
실버,1272,1020,STYLE,실버
회색,1265,1078,STYLE,그레이
버즈릭슨,1264,883,BRAND,버즈릭슨
누구,1253,1091,OTHER,누구
남,1253,1091,OTHER,남
우리,1252,969,OTHER,우리
대학,1251,1113,OTHER,대학
은,1247,1158,OTHER,은
슈퍼스타,1239,1124,ITEM,아디다스슈퍼스타
피스,1237,1073,OTHER,피스
미드,1233,1012,OTHER,미드
캐쥬얼,1232,1133,STYLE,캐주얼
밤,1232,1073,OTHER,밤
편안,1231,1019,STYLE,편안
텐,1230,985,OTHER,텐
커피,1230,916,OTHER,커피
반지,1230,996,ITEM,반지
시원,1227,1114,STYLE,시원
인디고,1226,861,STYLE,인디고
슈퍼,1226,1109,OTHER,슈퍼
가,1222,1078,OTHER,가
발등,1218,1005,OTHER,발등
오피스,1216,953,STYLE,오피스
주앙,1216,1057,BRAND,주앙옴므
uniqlo,1216,479,BRAND,유니클로
윙,1216,958,OTHER,윙
데이,1214,1001,OTHER,데이
젠틀,1214,1108,BRAND,젠틀몬스터
멋,1211,1074,OTHER,멋
