token,term_freq,doc_freq,category,canonical_form
생활,780,699,,
어세,780,684,,
정핏,779,700,,
대신,778,741,,
슬립,777,646,,
퇴근,776,711,,
러드,776,677,,
위더로드,776,734,,
포멀,775,675,,
미니,774,651,,
페몬트,773,672,,
연휴,772,665,,
당시,771,586,,
제품명,771,751,,
구,771,662,,
보온,768,610,,
테이크,765,722,,
낙,762,434,,
행,760,734,,
여기저기,760,720,,
전화,759,475,,
자기,758,611,,
남친,754,707,,
og,753,586,,
아들,753,363,,
그램,753,692,,
활용도,752,716,,
그래픽,751,483,,
후회,751,710,,
털,750,548,,
후반,747,696,,
야,743,653,,
오사카,742,520,,
머,741,692,,
gu,741,428,,
시도,738,566,,
cap,733,538,,
츠,733,566,,
탕,733,628,,
재,730,659,,
애쉬크로프트,730,700,,
공지,729,698,,
건강,728,653,,
공간,727,573,,
영국,727,547,,
지오다노,727,638,,
로즈,726,587,,
팬,724,659,,
거기,724,638,,
기능,723,547,,
이해,721,555,,
영화,721,468,,
프리미엄,719,600,,
어널러코드,719,664,,
헤어,719,566,,
레드윙,718,581,,
시기,717,609,,
푸마,717,560,,
복각,717,554,,
크기,716,599,,
마지,716,652,,
낮,715,672,,
조끼,713,576,,
버켄스탁,713,648,,
원산지,713,536,,
얼,711,647,,
루즈,711,566,,
미스,711,623,,
아트이프액츠,711,606,,
참여,709,617,,
쇼츠,708,543,,
드레스,708,625,,
디젤,708,556,,
내년,708,660,,
힘,707,634,,
메,707,615,,
슈펜,705,657,,
mlb,703,673,,
포트너스,702,647,,
아재,702,575,,
봉제,701,514,,
리스,701,616,,
acg,701,544,,
윈드,700,609,,
신고,700,601,,
게시,700,582,,
덕분,698,657,,
뽕,698,670,,
홀,697,561,,
모리,697,431,,
top,697,443,,
비긴,697,580,,
라운드,695,538,,
엔지니어,693,492,,
개월,693,608,,
에어팟,693,614,,
합리,692,616,,
트래블,692,657,,
게시물,692,664,,
소리,689,629,,
올백,688,623,,
공식,686,582,,
장갑,686,548,,
타이틀,685,626,,
점퍼,684,505,,
고프코어,684,589,,
처,682,595,,
그라더스,682,528,,
와이,681,538,,
무지,679,627,,
무스탕,678,459,,
all,678,257,,
은근,678,636,,
찰떡,677,647,,
크리스마스,677,499,,
스틱,676,566,,
후쿠오카,675,491,,
파라부트,674,516,,
변화,672,553,,
우영미,672,476,,
지인,671,606,,
저거,671,637,,
점심,671,623,,
이얼즈어고,670,377,,
꽃,669,562,,
옥스포드,669,529,,
연락,669,477,,
가젤,669,547,,
변호사,669,42,,
엘무드,668,611,,
브릿지,668,555,,
득템,668,590,,
심심,668,626,,
며칠,668,643,,
일꼬르소,667,562,,
블프,667,593,,
의미,666,534,,
비지터,665,593,,
쌀쌀,665,649,,
망,664,593,,
대장,662,569,,
몽,661,423,,
브랜디,661,617,,
봄버,660,520,,
테이,660,578,,
술,660,527,,
군,658,494,,
새해,658,577,,
체인,657,530,,
소통,656,580,,
전역,655,554,,
렉스,654,562,,
거리,653,519,,
커플,653,578,,
insta,653,651,,
애드,651,576,,
널널,650,595,,
사장,650,513,,
조절,649,522,,
저렴,649,621,,
더위,648,615,,
에이징,647,557,,
데이트,647,583,,
밥,646,564,,
벚꽃,644,500,,
플라이,644,536,,
밴드,643,387,,
무릎,643,523,,
가입,642,580,,
×,641,426,,
구성,640,539,,
lee,640,503,,
